protein,dms,model_name,corr,pval
dms_adrb2,DMS_0.15,DeepSequence,0.46271604889914103,0.0
dms_adrb2,DMS_0.15,esm1b,0.4598212297664396,0.0
dms_adrb2,DMS_0.15,tape,0.2375852915351548,1.5610021574054106e-100
dms_adrb2,DMS_0.625,DeepSequence,0.5219299153708199,0.0
dms_adrb2,DMS_0.625,esm1b,0.5205633353787167,0.0
dms_adrb2,DMS_0.625,tape,0.26470129065362336,3.3564178106503775e-125
dms_adrb2,DMS_0,DeepSequence,0.391597764414569,3.0389597487856813e-284
dms_adrb2,DMS_0,esm1b,0.3904187478041421,2.1235510788860287e-282
dms_adrb2,DMS_0,tape,0.2032845866266278,1.527602652591189e-73
dms_adrb2,DMS_5,DeepSequence,0.446730164694329,0.0
dms_adrb2,DMS_5,esm1b,0.4543821086295187,0.0
dms_adrb2,DMS_5,tape,0.2653010441266649,5.694745103070222e-126
dms_bla,DMS_(a),DeepSequence,0.31834780012324,0.008653765888684831
dms_bla,DMS_(a),esm1b,0.7555821611800555,1.4749995233426459e-13
dms_bla,DMS_amp_0_(b),DeepSequence,0.1495877145087174,2.64173825911884e-26
dms_bla,DMS_amp_0_(b),esm1b,0.1204696880950448,1.4803470893287775e-17
dms_bla,DMS_amp_0_(b),tape,0.048843408431956906,0.0005661440376778521
dms_bla,DMS_amp_10_(b),DeepSequence,0.09991812464665394,2.8644213540126883e-12
dms_bla,DMS_amp_10_(b),esm1b,0.08640662413910985,1.5803399905741995e-09
dms_bla,DMS_amp_10_(b),tape,0.0004800803703593764,0.9732971211363335
dms_bla,DMS_amp_156_(b),DeepSequence,0.4383963273209944,6.234549196213311e-233
dms_bla,DMS_amp_156_(b),esm1b,0.415996174415322,1.3142248131922309e-207
dms_bla,DMS_amp_156_(b),tape,0.054601496297850494,0.00011605491171193794
dms_bla,DMS_amp_2500_(b),DeepSequence,0.7532877726948102,0.0
dms_bla,DMS_amp_2500_(b),esm1b,0.62982735475457,0.0
dms_bla,DMS_amp_2500_(b),tape,0.12206622599896468,5.4972951158462086e-18
dms_bla,DMS_amp_39_(b),DeepSequence,0.27085003986887574,1.9707351833712756e-84
dms_bla,DMS_amp_39_(b),esm1b,0.24960186969966436,1.4082833219128296e-71
dms_bla,DMS_amp_39_(b),tape,0.04559911460961894,0.0012903883344428184
dms_bla,DMS_amp_625_(b),DeepSequence,0.616494865136829,0.0
dms_bla,DMS_amp_625_(b),esm1b,0.5196224520682482,0.0
dms_bla,DMS_amp_625_(b),tape,0.08533313443745069,1.6379381326257636e-09
dms_bla,DMS_(a),tape,0.12906315476978286,0.29791837159355805
dms_bla,DMS_cefo_0.2_(b),DeepSequence,0.06479001941522407,4.764129280720241e-06
dms_bla,DMS_cefo_0.2_(b),esm1b,0.08924407890162263,2.8336180526578225e-10
dms_bla,DMS_cefo_0.2_(b),tape,0.06977367529307517,8.322562218856437e-07
dms_bla,DMS_(d),DeepSequence,0.7162613994222705,0.0
dms_bla,DMS_(d),esm1b,0.6175089377922366,0.0
dms_bla,DMS_(d),tape,0.24551476492612928,1.6896357563297256e-69
dms_bla,DMS_M182T_(c),DeepSequence,0.41229452706345804,1.7449137506975667e-09
dms_bla,DMS_M182T_(c),esm1b,0.40241154088901226,4.57636250703111e-09
dms_bla,DMS_M182T_(c),tape,0.07288405652690443,0.30876310793893114
dms_bla,DMS_WT_(c),DeepSequence,0.7326302087327433,2.8404642983707466e-167
dms_bla,DMS_WT_(c),esm1b,0.5874454318514593,6.724767022002867e-93
dms_bla,DMS_WT_(c),tape,0.09819047262157708,0.001981007377798669
dms_brca1,DMS_(b),DeepSequence,0.4047869009745998,4.423167824654717e-24
dms_brca1,DMS_(b),esm1b,0.45694788919675,1.93318683077114e-95
dms_brca1,DMS_(b),tape,0.005456625866002338,0.8152063715183948
dms_brca1,DMS_E3_all_(a),DeepSequence,0.19199852455767094,1.4980559661463966e-41
dms_brca1,DMS_E3_all_(a),esm1b,0.2189072475383177,8.8340734317546e-54
dms_brca1,DMS_E3_all_(a),tape,0.09546322415654078,2.6187384324133842e-11
dms_brca1,DMS_E3_high_(a),DeepSequence,0.2867304570386528,1.0979344439677105e-57
dms_brca1,DMS_E3_high_(a),esm1b,0.4085448177238261,1.1664441411906668e-120
dms_brca1,DMS_E3_high_(a),tape,0.12855208253080927,1.717390530741187e-12
dms_brca1,DMS_Y2H_all_(a),DeepSequence,0.1458854650028293,8.911061897810844e-10
dms_brca1,DMS_Y2H_all_(a),esm1b,0.17887399321267078,4.919065688392969e-14
dms_brca1,DMS_Y2H_all_(a),tape,0.015373822906974718,0.5206500401748948
dms_brca1,DMS_Y2H_high_(a),DeepSequence,0.19708795755683434,1.1752861690789232e-13
dms_brca1,DMS_Y2H_high_(a),esm1b,0.22008938620638763,9.889679798932104e-17
dms_brca1,DMS_Y2H_high_(a),tape,0.004764319983260319,0.8590404278852594
dms_calm1,DMS,DeepSequence,0.2330033047345174,8.914752022358896e-24
dms_calm1,DMS,esm1b,0.17319278937642282,1.1232959540674353e-13
